Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
"Hộp Quà Tốt Nghiệp Hình Mũ Cử Nhân","Hộp kẹo mũ bác sĩ được thiết kế độc đáo, làm từ giấy cao cấp, màu sắc như hình hiển thị, mang lại cảm giác vừa đáng yêu vừa trang trọng. Với kích thước nhỏ gọn 9 x 6 x 6 cm (3,54 x 2,36 x 2,36 in), sản phẩm thích hợp dùng để đựng thực phẩm, kẹo hoặc quà tặng trong các dịp đặc biệt.",Gradie,Kẹo,,TRUE,Màu sắc,Đỏ,Chất liệu,Giấy,Kích thước,9x6x6 cm,SP039-1,0,shopify,100,deny,manual,79000,89000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp039-1.webp,1,Hộp Quà Tốt Nghiệp Hình Mũ Cử Nhân,FALSE,,,active
"Mô Hình Tốt Nghiệp","Khung ảnh mica trong suốt dày 3mm, kết hợp cùng đế LED USB ánh sáng dịu nhẹ, giúp hình ảnh nổi bật và lung linh hơn. Sản phẩm được in ảnh theo yêu cầu, phù hợp làm quà tặng tốt nghiệp đầy ý nghĩa.",Gradie,Khung ảnh,,TRUE,Hình dáng,Tự do, phụ thuộc ảnh gửi,Kích thước,15-20cm,Chất liệu,Mica,SP040-1,0,shopify,100,deny,manual,259000,279000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp040-1.jpg,1,Mô Hình Tốt Nghiệp,FALSE,,,active
"khung ảnh khung bằng khen","Khung ảnh được thiết kế vừa vặn cho giấy khen chuẩn A4, giúp bảo quản và trưng bày giấy khen một cách trang trọng. Phần kính phủ viền ngoài thêm 1,5cm mỗi cạnh, tạo cảm giác chắc chắn và sang trọng.",Gradie,Khung ảnh,,TRUE,Hình dáng,Hình chữ nhật,Kích thước,21x29.7cm,Chất liệu, Kính trong suốt,SP041-1,0,shopify,100,deny,manual,259000,279000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp041-1.webp,1,khung ảnh khung bằng khen,FALSE,,,active
"Khung Pha Lê","Kỷ niệm chương được chế tác từ thủy tinh cao cấp, mang vẻ đẹp sang trọng và tinh tế, thích hợp để vinh danh trong các dịp tốt nghiệp, kỷ niệm hay trao tặng thành tích. Sản phẩm có hai kiểu dáng: tròn đường kính 14cm và các mẫu khác với chiều cao 19cm, tạo sự đa dạng cho lựa chọn.",Gradie,Huy Chương,,TRUE,Hình dáng,Lá,Kích thước,19cm,Chất liệu,Thủy tinh,SP042-1,0,shopify,100,deny,manual,299000,339000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp042-1.webp,1,Khung Pha Lê,FALSE,,,active
"Huy Chương Tốt Nghiệp","Huy chương được làm từ mica bền đẹp, với kích thước mặt 8cm, độ dày 3mm chắc chắn, tạo cảm giác sang trọng và tinh tế. Dây huy chương rộng 2,5cm, giúp đeo thoải mái và nổi bật trong các buổi lễ tốt nghiệp hay sự kiện vinh danh. Đây là món quà ý nghĩa, vừa trang trí vừa lưu giữ kỷ niệm đáng nhớ.",Gradie,Huy Chương,,TRUE,Hình dáng,Tròn - Nam,Kích thước,8,5cm,Chất liệu,Mica,SP043-1,0,shopify,100,deny,manual,89000,99000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp043-2.webp,1,Huy Chương Tốt Nghiệp,FALSE,,,active
"Bó Quà Tốt Nghiệp","Bó hoa bánh kẹo gồm 18 món cao cấp, chất lượng, đa dạng hương vị, mang đến sự ngọt ngào và bất ngờ cho người nhận. Với thiết kế sáng tạo dạng bó hoa đứng được, sản phẩm vừa đẹp mắt vừa tiện lợi để trưng bày trong các buổi lễ tốt nghiệp, chụp kỷ yếu hay làm quà sinh nhật ý nghĩa. Đây là món quà độc đáo, vừa thể hiện lời chúc ngọt ngào vừa lưu giữ kỷ niệm đáng nhớ, thích hợp dành tặng bạn bè, người thân trong những dịp đặc biệt.",Gradie,Hoa mừng,,TRUE,Màu sắc,Hồng,Kích thước ,80cm,Chất liệu,Bánh kẹo,sữa, gấu bông,SP044-1,0,shopify,100,deny,manual,189000,199000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp044-1.webp,1,Bó Quà Tốt Nghiệp,FALSE,,,active
"Đèn Ngủ Hoa Hướng Dương","Sản phẩm được thiết kế độc đáo với hoa hướng dương khô – biểu tượng của sự lạc quan và thành công. Kết hợp cùng đèn LED ánh sáng vàng ấm, tạo nên không gian lung linh, ấm áp, thích hợp làm quà tặng tốt nghiệp đầy ý nghĩa.",Gradie,Đèn Ngủ,,TRUE,Hình dạng,Gấu,Màu sắc,Trằng, vàng,Chất liệu,Thủy tinh,SP045-1,0,shopify,100,deny,manual,89000,99000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp045-1.webp,1,Đèn Ngủ Hoa Hướng Dương,FALSE,,,active
"Đèn Ngủ Hoa Cẩm Tú Cầu","Đèn ngủ handmade được làm từ nguyên liệu độc đáo, gồm 30 bông cẩm tú cầu kèm lá, mang lại vẻ đẹp nhẹ nhàng và tinh tế. Bộ sản phẩm đi kèm set đế đèn + pin AAA, cùng keo và đầy đủ phụ kiện, giúp bạn dễ dàng tự tay hoàn thiện chiếc đèn.",Gradie,Đèn Ngủ,,TRUE,Hình dạng,Cẩm Tú Cầu,Màu sắc,Vàng hồng đào,Chất liệu,Thủy tinh,SP046-1,0,shopify,100,deny,manual,269000,299000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp046-1.webp,1,Đèn Ngủ Hoa Cẩm Tú Cầu,FALSE,,,active
"Lịch Tốt Nghiệp","Lịch tốt nghiệp được thiết kế như một món quà tặng độc đáo, mang phong cách troll vui nhộn dành cho bạn bè. Với hình ảnh và chi tiết gắn liền không khí lễ tốt nghiệp, sản phẩm vừa tạo tiếng cười vừa lưu giữ kỷ niệm đáng nhớ. Đây là lựa chọn thú vị để tặng bạn bè trong ngày tốt nghiệp, giúp không khí thêm phần hài hước và ý nghĩa.",Gradie,Khung ảnh,,TRUE,Màu sắc,Hồng,Kích thước,29,7 x 42 cm,Chất liệu,Giấy cứng,SP047-1,0,shopify,100,deny,manual,69000,79000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp047-1.webp,1,Lịch Tốt Nghiệp,FALSE,,,active
"Bó Hoa Mini Kèm Gấu Tốt Nghiệp","Set quà tặng tốt nghiệp độc đáo và ý nghĩa, mang đến sự tươi mới và may mắn cho người nhận. Mỗi set sen đá/xương rồng đi kèm chậu tráng men hoặc đất nung trắng đường kính 8cm, kết hợp cùng mô hình gấu tốt nghiệp dễ thương và túi giấy đựng quà sang trọng, thích hợp làm quà tặng bạn bè, người thân trong dịp tốt nghiệp.",Gradie,Chậu cây,,TRUE,Hình dạng,Gấu ,Kích thước,29,7 x 42 cm,Chất liệu,Sen đá,SP048-1,0,shopify,100,deny,manual,79000,89000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp048-1.webp,1,Bó Hoa Mini Kèm Gấu Tốt Nghiệp,FALSE,,,active
"Bó Xương Rồng Mini Tốt Nghiệp","Chậu cây được vẽ tay 100% thủ công, mang nét độc đáo và tinh tế, thích hợp làm quà tặng tốt nghiệp ý nghĩa. Với kích thước đường kính 8cm, sản phẩm nhỏ gọn, dễ dàng trưng bày trên bàn học, bàn làm việc hoặc góc trang trí. Đây là món quà vừa mang tính thẩm mỹ vừa gửi gắm lời chúc may mắn, thành công đến người nhận.",Gradie,Chậu cây,,TRUE,Hình dạng,Nam,Kích thước, 8cm,Chất liệu,Xương rồng,SP049-1,0,shopify,100,deny,manual,159000,169000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp049-1.webp,1,Bó Xương Rồng Mini Tốt Nghiệp,FALSE,,,active
